,NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
2570,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCDAEDCD""","""01000001""","""ECEBBDABEDCBABBDDDBDADDBBAE""","""990008100000000090009000000""",555,555,555,555,555,555,555,333,333,333,555,11.8,29,25,35,70,30,80,0,0,0,6.1,4.5,15,0,0,45,"""C""","""E""","""B""","""A""","""C""","""C""","""A""","""B""","""C"""
3925,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DBCCBDAE""","""00000010""","""ADBCCBDAEBDCCDBEADBDCDEDADB""","""990108000100010090009001000""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""B""","""C""","""A""","""D""","""D""","""D""","""D""","""D""","""A"""
37120,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCEEEEBC""","""01000100""","""DCBDDACDBACDBDCBDCBBCBDCCEB""","""990008011000110190009000100""",555,555,555,555,555,555,555,333,333,555,555,24.4,25.6,25,26.5,53,45,55,0,0,0,24,27.3,5,0,0,15,"""C""","""C""","""B""","""A""","""A""","""C""","""D""","""D""","""C"""
38187,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DACEDEBD""","""00000101""","""EDBDDEEABBBBDAABCAAAEACCADD""","""990008001110000190109000000""",555,555,555,555,555,333,555,555,333,333,333,24.6,40.4,25,63.5,54,70,50,73,65,75,19.3,22.7,0,0,0,0,"""C""","""C""","""B""","""C""","""C""","""D""","""D""","""D""","""D"""
49142,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BACECEBD""","""00001101""","""BBBDDDBEBACEEEEECACEEBDECBB""","""990008001001000090019000100""",555,555,555,555,555,555,555,555,336,555,555,26.3,52.5,37.5,75,74,70,75,76,80,75,17.5,18.2,13.3,0,15,25,"""C""","""C""","""B""","""C""","""B""","""C""","""A""","""B""","""D"""
53354,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCBBEACD""","""01110001""","""DDDAEDBCBECAACBADEACDEDDCAA""","""990018001000000091109001100""",555,555,555,555,555,555,555,555,555,555,555,26.9,33.6,50,9,8,40,0,10,50,0,24.7,27.3,10,30,0,0,"""C""","""D""","""C""","""C""","""C""","""B""","""B""","""C""","""A"""
99779,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCDEBEDE""","""01000100""","""CEEAADABBBDDCEDDDAAACBBACBE""","""990008101100001090109010100""",555,555,555,555,555,555,555,555,555,555,555,32.2,38,25,57.5,64,60,65,51,75,45,30.3,31.8,21.7,0,60,5,"""D""","""C""","""B""","""B""","""B""","""D""","""B""","""A""","""D"""
191645,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DCCBCEAE""","""01011110""","""BBDDEEBDBBCECECEBAECCBBECCA""","""990018011101000090009010110""",555,555,555,555,555,555,555,555,555,336,336,40.2,63.7,62.5,65.5,85,65,90,46,50,45,32.4,36.4,10,30,0,0,"""D""","""D""","""A""","""C""","""B""","""C""","""B""","""D""","""D"""
201419,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DECBEECD""","""00010101""","""EDDDBEDEBCCBCDBEDBAAECBDCCC""","""990008001000010090109111111""",555,555,555,555,555,555,555,555,555,555,555,41,43.1,37.5,51.5,53,65,50,50,50,50,40.3,40.9,36.7,30,80,0,"""C""","""C""","""B""","""C""","""D""","""C""","""B""","""C""","""D"""
205119,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCABBEAD""","""01010111""","""ECDCDEABBABEDEDADEAEEBCACDC""","""990108101011001091119000101""",555,555,555,333,555,333,333,333,333,333,333,41.3,37.5,62.5,0,0,0,0,0,0,0,42.5,50,0,0,0,0,"""C""","""C""","""C""","""B""","""B""","""C""","""D""","""D""","""C"""
